iter	Passed	Remaining
0	10	10582
1	17	8712
2	23	7784
3	30	7473
4	36	7177
5	42	7056
6	48	6932
7	54	6762
8	61	6727
9	67	6655
10	73	6645
11	79	6540
12	85	6481
13	91	6462
14	97	6423
15	103	6387
16	110	6378
17	116	6355
18	122	6347
19	128	6300
20	134	6274
21	140	6245
22	146	6226
23	152	6203
24	159	6212
25	165	6195
26	171	6194
27	178	6182
28	184	6168
29	190	6171
30	197	6161
31	203	6157
32	210	6165
33	216	6150
34	223	6155
35	229	6146
36	235	6128
37	242	6131
38	248	6115
39	254	6109
40	260	6097
41	266	6087
42	273	6087
43	279	6071
44	285	6060
45	292	6060
46	298	6046
47	304	6045
48	311	6040
49	317	6029
50	324	6029
51	329	6015
52	336	6004
53	342	5996
54	348	5986
55	354	5981
56	361	5973
57	367	5968
58	374	5975
59	381	5972
60	388	5976
61	395	5980
62	401	5975
63	408	5971
64	414	5962
65	421	5965
66	427	5959
67	434	5951
68	439	5931
69	445	5918
70	451	5907
71	457	5900
72	463	5889
73	470	5886
74	476	5875
75	482	5865
76	488	5859
77	495	5852
78	501	5848
79	507	5838
80	513	5825
81	520	5825
82	526	5814
83	532	5802
84	538	5795
85	544	5786
86	551	5782
87	557	5775
88	563	5766
89	569	5758
90	575	5750
91	581	5740
92	588	5734
93	594	5725
94	600	5719
95	606	5714
96	612	5702
97	618	5694
98	624	5685
99	630	5675
100	637	5674
101	643	5665
102	649	5658
103	656	5653
104	662	5644
105	667	5631
106	674	5625
107	680	5616
108	686	5610
109	692	5602
110	698	5594
111	704	5588
112	710	5580
113	717	5575
114	722	5561
115	728	5552
116	735	5548
117	741	5541
118	747	5533
119	753	5528
120	759	5519
121	766	5512
122	771	5503
123	776	5489
124	783	5482
125	789	5475
126	794	5463
127	801	5457
128	806	5447
129	812	5438
130	819	5437
131	825	5428
132	831	5422
133	838	5418
134	844	5409
135	850	5402
136	856	5394
137	862	5387
138	868	5382
139	875	5375
140	881	5371
141	887	5363
142	893	5355
143	899	5349
144	905	5342
145	912	5334
146	918	5329
147	924	5322
148	931	5317
149	936	5307
150	942	5300
151	949	5294
152	955	5290
153	962	5285
154	969	5283
155	975	5276
156	981	5272
157	988	5267
158	995	5263
159	1001	5257
160	1007	5250
161	1013	5245
162	1019	5237
163	1024	5223
164	1032	5227
165	1041	5232
166	1048	5230
167	1056	5230
168	1064	5232
169	1070	5225
170	1076	5218
171	1082	5213
172	1088	5205
173	1095	5198
174	1100	5189
175	1106	5181
176	1113	5177
177	1119	5170
178	1125	5162
179	1132	5157
180	1138	5150
181	1144	5142
182	1150	5136
183	1156	5129
184	1163	5123
185	1169	5116
186	1175	5108
187	1181	5102
188	1187	5094
189	1193	5088
190	1199	5082
191	1205	5071
192	1211	5065
193	1217	5058
194	1223	5050
195	1230	5045
196	1235	5037
197	1241	5030
198	1248	5025
199	1254	5018
200	1260	5012
201	1266	5004
202	1273	4998
203	1279	4992
204	1285	4986
205	1291	4979
206	1298	4972
207	1303	4964
208	1310	4958
209	1316	4952
210	1322	4944
211	1327	4935
212	1333	4928
213	1339	4920
214	1346	4916
215	1352	4910
216	1359	4905
217	1365	4900
218	1372	4892
219	1378	4887
220	1384	4880
221	1390	4872
222	1396	4866
223	1402	4858
224	1408	4851
225	1414	4844
226	1420	4837
227	1427	4832
228	1433	4825
229	1439	4817
230	1445	4812
231	1451	4806
232	1457	4798
233	1463	4791
234	1469	4784
235	1476	4780
236	1483	4775
237	1489	4768
238	1495	4762
239	1501	4755
240	1508	4750
241	1514	4743
242	1520	4735
243	1526	4728
244	1532	4721
245	1538	4714
246	1544	4708
247	1550	4701
248	1556	4694
249	1563	4689
250	1568	4681
251	1574	4674
252	1580	4667
253	1586	4660
254	1593	4654
255	1599	4647
256	1605	4640
257	1611	4634
258	1617	4627
259	1623	4619
260	1629	4612
261	1634	4604
262	1641	4598
263	1647	4592
264	1653	4584
265	1659	4578
266	1664	4570
267	1670	4563
268	1677	4558
269	1683	4552
